"H-7011","h-7011","#ede2e4"
"H-7010","h-7010","#efdfdf"
"H-7009","h-7009","#f0dfdd"
"H-7008","h-7008","#f4e0dc"
"C-3120","c-3120","#eecebd"
"H-7054","h-7054","#e2cecd"
"H-7056","h-7056","#e2d2d6"
"H-7064","h-7064","#e0bbbe"
"H-7075","h-7075","#dcabb8"
"C-3113","c-3113","#f7e7d6"
"C-3117","c-3117","#eee3da"
"K-6047","k-6047","#f6a39c"
"K-6057","k-6057","#ed8a83"
"K-6067","k-6067","#ea736d"
"K-6077","k-6077","#e25e59"
"K-6087","k-6087","#d53b39"
"H-7109","h-7109","#c64275"
"H-7108","h-7108","#c84865"
"H-7107","h-7107","#cc4654"
"K-6023","k-6023","#facbaa"
"C-3121","c-3121","#f0e2dc"
"C-3118","c-3118","#f3ded5"
"C-3209","c-3209","#b32c18"
"H-7031","h-7031","#e2c1da"
"H-7026","h-7026","#f9cbc2"
"H-7030","h-7030","#e6b9cd"
"H-7018","h-7018","#edc8c9"
"H-7020","h-7020","#f0d2dc"
"H-7021","h-7021","#e9d2df"
"H-7022","h-7022","#e0d4e3"
"H-7023","h-7023","#d7d6e6"
"H-7032","h-7032","#d2bedc"
"H-7129","h-7129","#c9a2a1"
"H-7139","h-7139","#ca8f8f"
"H-7149","h-7149","#c97c7f"
"H-7368","h-7368","#c0666a"
"H-7159","h-7159","#b14952"
"H-7044","h-7044","#e3737b"
"H-7043","h-7043","#e78d9c"
"H-7038","h-7038","#f0a5b0"
"H-7028","h-7028","#f2b9c1"
"H-7027","h-7027","#f4b5b4"
"H-7040","h-7040","#e9a9c9"
"C-3250","c-3250","#7c2527"
"H-7170","h-7170","#990015"
"H-7103","h-7103","#d86880"
"H-7102","h-7102","#d76871"
"H-7045","h-7045","#db606b"
"D-4275","d-4275","#0d6f95"
"H-7089","h-7089","#bdbadc"
"H-7080","h-7080","#b1bfde"
"H-7081","h-7081","#a7c1dd"
"D-4122","d-4122","#e7ece2"
"H-7006","h-7006","#e4e9e7"
"H-7016","h-7016","#d9e7e9"
"H-7025","h-7025","#c6dae6"
"H-7035","h-7035","#b0cce5"
"H-7041","h-7041","#8abddb"
"T-8052","t-8052","#90b3da"
"H-7135","h-7135","#afaec5"
"H-7136","h-7136","#a8b0c6"
"H-7137","h-7137","#a0b1c5"
"H-7082","h-7082","#9fc2d8"
"D-4171","d-4171","#addacb"
"H-7118","h-7118","#bdc4c7"
"H-7128","h-7128","#b4c0c5"
"H-7138","h-7138","#9cb5c5"
"H-7148","h-7148","#85a9c1"
"H-7158","h-7158","#6c9abd"
"H-7377","h-7377","#498ebc"
"H-7378","h-7378","#798acb"
"H-7369","h-7369","#6090cc"
"H-7106","h-7106","#2e90c7"
"D-4136","d-4136","#cddbd9"
"T-8068","t-8068","#bac3c4"
"T-8070","t-8070","#adbdc2"
"T-8076","t-8076","#99b9c5"
"T-8082","t-8082","#81afc3"
"T-8088","t-8088","#63a1bc"
"T-8098","t-8098","#3c99bb"
"T-8118","t-8118","#97a7ae"
"T-8124","t-8124","#809caa"
"T-8130","t-8130","#6593a8"
"T-8136","t-8136","#468aa7"
"T-8146","t-8146","#117b9f"
"T-8011","t-8011","#bae2de"
"T-8033","t-8033","#abd2d6"
"T-8040","t-8040","#8dcbcc"
"T-8047","t-8047","#70c5c8"
"T-8091","t-8091","#52a8ac"
"T-8101","t-8101","#29a5ab"
"T-8003","t-8003","#d5e6e5"
"T-8009","t-8009","#c1e1e5"
"T-8022","t-8022","#82d1dc"
"T-8055","t-8055","#46b8ce"
"T-8064","t-8064","#19aad3"
"R-9097","r-9097","#e3dbb8"
"R-9117","r-9117","#e3d58a"
"R-9127","r-9127","#e1d172"
"R-9137","r-9137","#e0cb55"
"R-9212","r-9212","#c7b55c"
"R-9096","r-9096","#e0ddbb"
"R-9106","r-9106","#dfd9a1"
"R-9116","r-9116","#ddd689"
"R-9136","r-9136","#d3c955"
"R-9146","r-9146","#d2c338"
"R-9164","r-9164","#cdbb00"
"E-5133","e-5133","#dfebde"
"R-9093","r-9093","#dadfc1"
"R-9103","r-9103","#d5ddac"
"R-9113","r-9113","#c9d491"
"R-9123","r-9123","#bdcb77"
"E-5163","e-5163","#c7d8c5"
"R-9089","r-9089","#ccdac8"
"E-5125","e-5125","#ecefde"
"E-5124","e-5124","#ecefdb"
"R-9099","r-9099","#bad8b9"
"R-9109","r-9109","#a4cfa7"
"R-9119","r-9119","#91cb98"
"R-9129","r-9129","#7bc685"
"E-5121","e-5121","#f1f1d4"
"E-5120","e-5120","#ece7d6"
"R-9139","r-9139","#57bb6e"
"R-9149","r-9149","#2fad57"
"R-9098","r-9098","#b4d7bd"
"R-9101","r-9101","#c4d8b1"
"E-5114","e-5114","#f1f0d8"
"R-9111","r-9111","#b1cd98"
"R-9138","r-9138","#38bb7e"
"E-5255","e-5255","#57a46b"
"R-9121","r-9121","#a8ce88"
"R-9132","r-9132","#a9c465"
"R-9141","r-9141","#8bbc57"
"R-9158","r-9158","#4ca831"
"E-5273","e-5273","#2b875f"
"R-9159","r-9159","#6da000"
"R-9160","r-9160","#8fae00"
"R-9161","r-9161","#a1b200"
"R-9162","r-9162","#b7bb04"
"E-5283","e-5283","#295d3f"
"R-9268","r-9268","#859e70"
"R-9217","r-9217","#92a850"
"R-9134","r-9134","#c8cd5e"
"R-9400","r-9400","#666241"
"A-1272","a-1272","#626b70"
"A-1209","a-1209","#ababa9"
"M-0104","m-0104","#cac8c2"
"M-0103","m-0103","#d4d2cc"
"B-2112","b-2112","#f5edde"
"K-6021","k-6021","#fbd5a9"
"M-0109","m-0109","#8f8e8c"
"A-1161","a-1161","#d4d3c9"
"M-0102","m-0102","#e1dfd8"
"B-2125","b-2125","#f3e4ce"
"B-2120","b-2120","#f2e7d1"
"K-6020","k-6020","#f9daa4"
"A-1239","a-1239","#919798"
"A-1141","a-1141","#e0ddd3"
"M-0170","m-0170","#e6d9c8"
"B-2123","b-2123","#f7e9d0"
"K-6049","k-6049","#ffcd64"
"K-6019","k-6019","#fbe3ae"
"A-1124","a-1124","#ebe4db"
"A-1116","a-1116","#f1ead9"
"K-6012","k-6012","#f8dec0"
"B-2121","b-2121","#f0e2cb"
"B-2161","b-2161","#edb600"
"B-2142","b-2142","#ecd245"
"K-6018","k-6018","#f7e6ad"
"B-2134","b-2134","#f3debe"
"K-6219","k-6219","#ceaf5a"
"K-6143","k-6143","#f1be57"
"K-6152","k-6152","#f0c63d"
"K-6028","k-6028","#f9df92"
"B-2136","b-2136","#ead9b5"
"K-6001","k-6001","#f4eed5"
"K-6223","k-6223","#d5905b"
"B-2235","b-2235","#b96d3c"
"K-6212","k-6212","#d7a370"
"B-2165","b-2165","#e7c7a2"
"K-6115","k-6115","#efc899"
"K-6361","k-6361","#a26d3a"
"B-2257","b-2257","#935730"
"K-6194","k-6194","#d1b6a0"
"B-2170","b-2170","#d6c5af"
"K-6192","k-6192","#d4bfa3"
"K-6182","k-6182","#c9c3b1"
"B-2275","b-2275","#704d36"
"K-6117","k-6117","#f1c2a2"
"K-6137","k-6137","#f4a574"
"K-6157","k-6157","#ea854a"
"K-6177","k-6177","#de6500"