"Bisque .01","Bisque-01"," #ffffff"
"Imagine .01","Imagine-01"," #f8faf8"
"Imagine .02","Imagine-02"," #fafdf4"
"Imagine .03","Imagine-03"," #f4f8e7"
"Imagine .04","Imagine-04"," #f0eddb"
"Imagine .05","Imagine-05"," #f0f2f1"
"Imagine .06","Imagine-06"," #eae9e1"
"Bisque .02","Bisque-02"," #f0eee2"
"Bisque .03","Bisque-03"," #e4e2d3"
"Air .01","Air-01"," #fbf8e7"
"Air .02","Air-02"," #ece6d1"
"Air .03","Air-03"," #e5dfc9"
"Bisque .05","Bisque-05"," #d9d9c8"
"Air .05","Air-05"," #e7fced"
"Air .06","Air-06"," #d7e2e5"
"Bisque .04","Bisque-04"," #e0ede6"
"Bisque .06","Bisque-06"," #dae2dd"
"Create .01","Create-01"," #f8e7c9"
"Air .04","Air-04"," #fff5d1"
"Sprout .04","Sprout-04"," #fef2c2"
"Grain .01","Grain-01"," #fff0c2"
"Grain .02","Grain-02"," #f4dea8"
"Grain .03","Grain-03"," #e9d19e"
"Grain .04","Grain-04"," #e1c9a1"
"Grain .05","Grain-05"," #dfbd87"
"Grain .06","Grain-06"," #ca9f5e"
"Grain .07","Grain-07"," #af8a3a"
"Aspire .01","Aspire-01"," #fbefbb"
"Aspire .02","Aspire-02"," #fae39f"
"Aspire .03","Aspire-03"," #eeda9c"
"Aspire .04","Aspire-04"," #f0d181"
"Aspire .05","Aspire-05"," #eabe5b"
"Aspire .06","Aspire-06"," #ffba38"
"Beeswax .01","Beeswax-01"," #edd79a"
"Beeswax .02","Beeswax-02"," #e9d095"
"Beeswax .03","Beeswax-03"," #ceaa5b"
"Beeswax .04","Beeswax-04"," #e0cd74"
"Beeswax .05","Beeswax-05"," #c9b156"
"Beeswax .06","Beeswax-06"," #b29445"
"Leaf .01","Leaf-01"," #d2d1ad"
"Leaf .02","Leaf-02"," #c1b98f"
"Leaf .03","Leaf-03"," #c9cdbf"
"Glass .01","Glass-01"," #d0d3b2"
"Glass .02","Glass-02"," #c9cfb5"
"Glass .03","Glass-03"," #b9ba99"
"Leaf .04","Leaf-04"," #bcb472"
"Leaf .05","Leaf-05"," #998f5b"
"Glass .04","Glass-04"," #969873"
"Glass .05","Glass-05"," #6e7e60"
"Glass .06","Glass-06"," #696346"
"Leaf .06","Leaf-06"," #cdd9c2"
"Sprout .05","Sprout-05"," #dbe8a7"
"Leaf .07","Leaf-07"," #dde5a9"
"Thrive .01","Thrive-01"," #d8dbac"
"Thrive .02","Thrive-02"," #ccce7a"
"Petal .02","Petal-02"," #c3d263"
"Thrive .03","Thrive-03"," #b0c05d"
"Thrive .04","Thrive-04"," #a2c8a1"
"Thrive .05","Thrive-05"," #83ae82"
"Thrive .06","Thrive-06"," #128458"
"Water .01","Water-01"," #cfe9e0"
"Water .02","Water-02"," #bcc8bc"
"Water .03","Water-03"," #bbd0d2"
"Water .04","Water-04"," #9fb4b4"
"Water .05","Water-05"," #82979d"
"Wool .01","Wool-01"," #c5d7d2"
"Wool .02","Wool-02"," #c1cdcd"
"Wool .03","Wool-03"," #a1abab"
"Water .06","Water-06"," #9eaea3"
"Water .07","Water-07"," #a6cdc2"
"Sprout .01","Sprout-01"," #ade8e2"
"Sprout .03","Sprout-03"," #ccdce7"
"Dream .01","Dream-01"," #cae9ee"
"Dream .02","Dream-02"," #bde1dd"
"Dream .03","Dream-03"," #b4cbd9"
"Dream .04","Dream-04"," #9cc7c4"
"Dream .05","Dream-05"," #18887c"
"Dream .06","Dream-06"," #0e707b"
"Wool .05","Wool-05"," #587675"
"Wool .06","Wool-06"," #485761"
"Petal .05","Petal-05"," #1f4992"
"Sprout .02","Sprout-02"," #fcba7d"
"Clay .01","Clay-01"," #c49c6d"
"Clay .02","Clay-02"," #cf8744"
"Clay .03","Clay-03"," #a16941"
"Create .02","Create-02"," #ff963a"
"Petal .01","Petal-01"," #df892a"
"Wood .01","Wood-01"," #c68736"
"Wood .02","Wood-02"," #b2683a"
"Create .03","Create-03"," #c27136"
"Clay .04","Clay-04"," #8c4d35"
"Clay .05","Clay-05"," #752b22"
"Clay .07","Clay-07"," #c27355"
"Petal .06","Petal-06"," #ba4133"
"Create .04","Create-04"," #b8352e"
"Create .05","Create-05"," #942a35"
"Wood .03","Wood-03"," #7c2a1c"
"Wood .04","Wood-04"," #67272a"
"Petal .04","Petal-04"," #aa3e71"
"Petal .03","Petal-03"," #f1a1a6"
"Sprout .06","Sprout-06"," #f7dde0"
"Sprout .07","Sprout-07"," #e3dbf2"
"Air .07","Air-07"," #cec4c5"
"Wool .04","Wool-04"," #8b8a8c"
"Wood .05","Wood-05"," #6f595d"
"Create .06","Create-06"," #5e3d5a"
"Petal .07","Petal-07"," #652f53"
"Stone .01","Stone-01"," #e1d6bb"
"Stone .02","Stone-02"," #c1a878"
"Metal .01","Metal-01"," #cbc6b1"
"Metal .02","Metal-02"," #bdb091"
"Stone .03","Stone-03"," #a89d7e"
"Stone .04","Stone-04"," #c9cabd"
"Metal .03","Metal-03"," #b5b8b1"
"Metal .04","Metal-04"," #9fa198"
"Stone .05","Stone-05"," #aaa593"
"Stone .06","Stone-06"," #746d5a"
"Stone .07","Stone-07"," #848a86"
"Metal .05","Metal-05"," #535654"
"Metal .06","Metal-06"," #3f4647"
"Nourish .01","Nourish-01"," #d5d3bf"
"Nourish .02","Nourish-02"," #c5c2af"
"Nourish .03","Nourish-03"," #a5a392"
"Nourish .04","Nourish-04"," #a3977f"
"Clay .06","Clay-06"," #675544"
"Nourish .05","Nourish-05"," #53453c"
"Wood .06","Wood-06"," #312f24"
"Nourish .06","Nourish-06"," #313536"