"Child of Heaven","DCP-0004","#f0ece1"
"Alchemy","DCP-0251","#eed9ba"
"Cheddar Corn","DCP-1001","#f5dbc2"
"Pink Satin","DCP-1057","#f4d0c2"
"Bedtime Story","DCP-1009","#e3bea4"
"Lady Nicole","DCP-0030","#ddddd5"
"Perspective","DCP-0749","#c8d4be"
"Creamy Mint","DCP-0755","#d4e2c8"
"Wonder Woods","DCP-0772","#b9d696"
"Perrenial Garden","DCP-0759","#9ab68e"
"Stardust Ballroom","DCP-1308","#e0d7dc"
"So Dainty","DCP-1309","#d4cad3"
"Calamities","DCP-1315","#cdcdd5"
"Savoy","DCP-1316","#c8c8d0"
"Dusky Mood","DCP-1318","#a6acb8"
"Dove White","DCP-0018","#e9e6df"
"Florito","DCP-0371","#c9cbbe"
"Drifting Sand","DCP-0218","#b6b2a9"
"Camel's Hump","DCP-0219","#989187"
"Baby Sprout","DCP-0134","#b6a39c"
"Mellow Blue","DCP-0468","#dde8e2"
"Fair Maiden","DCP-0456","#b3c3b9"
"Simply Sparkling","DCP-0594","#bccee6"
"John's Blue","DCP-0617","#97b2cd"
"Celestial Horizon","DCP-0589","#8fa4bf"
"Kiara","DCP-0005","#f2ecde"
"Golden Weave","DCP-0888","#e9dec8"
"Star of Gold","DCP-0323","#c5ba9a"
"Olive Gold","DCP-0281","#c7bba3"
"Tan Hide","DCP-0261","#b29b79"
"Spanish Red","7473","#732318"
"Baguio Green","7455","#015b41"
"Terra Cotta","7472","#864326"
"Brick Orange","7476","#c27654"
"Delft Blue","7447","#003b67"
"Laguna White","7411","#c8cdc9"
"Sierra Beige","7425","#a99e80"
"Ivory White","D-6722","#eec784"
"Silver Gray","D-6730","#857f69"
"Royal Blue","D-6740","#1d375c"
"Sky Blue","D-6742","#7ac2d8"
"Ocean Blue","D-6743","#4c6a74"
"International Red","D-6771","#9d0b1e"
"Dark Chocolate","D-6782","#392a27"
"Maple","D-6784","#7d5436"
"Jade Green","D-6756","#1e6a43"
"Lemon Yellow","D-6761","#ffc700"
"Caterpillar Yellow","D-6765","#af7c20"
"Grass Green","D-6753","#317455"
"Dark Green","D-6751","#214136"
"Orange","D-6776","#de4a00"
"Maroon","D-6773","#4f2318"
"Caramel Brown","D-6783","#8d5033"
"Tulle White","VS-9101","#f8f8ec"
"Winter Morning","VS-9102","#fef4eb"
"Bora Sand","VS-9110","#fef4eb"
"Light Silver","VS-9112","#ffeee7"
"Grey Castle","VS-9132","#fcefe9"
"Angelâ€™s Wing","VS-9118","#f6dfc0"
"Ice","VS-9113","#f6dfad"
"Apricot White","VS-9114","#f4d6a2"
"Nicole","VS-9115","#ebd9c3"
"Bridal Whites","VS-9120","#f3d3ad"
"Lace","VS-9119","#fdddac"
"Toasted Beige","VS-9221","#ecce98"
"Coast Light","VS-9104","#f0d18e"
"Crisp Ecru","VS-9103","#f1bf8e"
"Vesa Peach","VS-9111","#f3ac76"
"Creamy Surprises","VS-9603","#f7d99b"
"Beige Natural","VS-9209","#f3cd9e"
"Pure Ivory","VS-9213","#f7ca87"
"Bone Ivory","VS-9225","#ffd880"
"Mocha","VS-9802","#f3c683"
"Crisp Biscuit","VS-9220","#e3c28d"
"Ivory White","VS-9116","#efae52"
"Pawn Beige","VS-9108","#d88950"
"Bacon Beige","VS-9202","#e5a96b"
"Tinker Belles","VS-9602","#fded98"
"Happy Day","VS-9601","#ffca2c"
"Hamburger","VS-9801","#9f5224"
"Caramel","VS-9805","#875228"
"Mud Pie","VS-9501","#5b4631"
"Western Brown","VS-9660","#53372c"
"Cottage Red","VS-9771","#9b3821"
"Terracotta","VS-9228","#b53b26"
"Coral Red","VS-9770","#aa5842"
"Berry Rouge","VS-9701","#e36e5a"
"Clay","VS-9880","#e27a53"
"Tasty Tan","VS-9201","#e4a467"
"Lightning Green","VS-9109","#c7df89"
"Green Peace","VS-9505","#8ac867"
"Temptations","VS-9503","#a3cd39"
"Green Grass","VS-9552","#53995a"
"Blue Royale","VS-9550","#243f90"
"Blue Sea","VS-9451","#2d61ad"
"Blue Wings","VS-9402","#8ab1c2"
"Tinge Grey","VS-9117","#e2e2e2"
"Smoky Gray","VS-9305","#95958d"
"Natural Gray","VS-9332","#878787"
"Seal of Grey","VS-9301","#575757"
"Ashton Grey","VS-9303","#66665a"