"LG LA9207","lg-la9207","#aa284a"
"LG LA9149","lg-la9149","#6e1726"
"LG LA9153","lg-la9153","#9f1521"
"LG LA9133","lg-la9133","#b8171e"
"LG LA9143","lg-la9143","#c22624"
"LG LA9444","lg-la9444","#e25b31"
"LG LA9445","lg-la9445","#e46237"
"LG LA9901P","lg-la9901p","#f05700"
"LG LA9446","lg-la9446","#f17e25"
"LG LA9425","lg-la9425","#f6a413"
"LG LA9423","lg-la9423","#fcaa00"
"LG LA9415","lg-la9415","#f6c200"
"LG LA9402","lg-la9402","#ead700"
"LG LA9506","lg-la9506","#76ab29"
"LG LA9516","lg-la9516","#24b246"
"LG LA9572","lg-la9572","#009a42"
"LG LA9355","lg-la9355","#009044"
"LG LA9556","lg-la9556","#117e3c"
"LG LA9526","lg-la9526","#006b28"
"LG LA9576","lg-la9576","#005029"
"LG LA9585","lg-la9585","#009679"
"LG LA9502GS","lg-la9502gs","#58c9c7"
"LG LA9522GS","lg-la9522gs","#008784"
"LG LA9582","lg-la9582","#00807e"
"LG LA9637","lg-la9637","#0089ad"
"LG LA9593","lg-la9593","#00616f"
"LG LA9595","lg-la9595","#005758"
"LG LA9636","lg-la9636","#1d79be"
"LG LA9629","lg-la9629","#0080bc"
"LG LA9627","lg-la9627","#0073af"
"LG LA9667","lg-la9667","#0065a0"
"LG LA9626","lg-la9626","#006daf"
"LG LA9603","lg-la9603","#005296"
"LG LA9659","lg-la9659","#1c4985"
"LG LA9665","lg-la9665","#144590"
"LG LA96SF","lg-la96sf","#004c8a"
"LG LA96SS","lg-la96ss","#034687"
"LG LA9605","lg-la9605","#153c70"
"LG LA9679","lg-la9679","#193960"
"LG LA9680","lg-la9680","#1e3963"
"LG LA9683","lg-la9683","#1b345e"
"LG LA96SH","lg-la96sh","#23345d"
"LG LA9677","lg-la9677","#11315a"
"LG LA9651H","lg-la9651h","#4169b0"
"LG LA9654","lg-la9654","#323a76"
"LG LA9687","lg-la9687","#302d6f"
"LG LA9696","lg-la9696","#633772"
"LG LA9759","lg-la9759","#49312d"
"LG LA9405","lg-la9405","#dfd2a9"
"LG LA9327","lg-la9327","#706f66"
"LG LA9365","lg-la9365","#787a7b"
"LG LA9431","lg-la9431","#646c6e"
"LG LA9421","lg-la9421","#b6b4af"
"LG LA9351","lg-la9351","#8b9493"
"LG LA9430","lg-la9430","#868d91"
"LG LA9001T","lg-la9001t","#b28f68"
"LG LA9002","lg-la9002","#b9bbbb"
"LG LA8024GS","lg-la8024gs","#bbbebe"
"LG LA9220","lg-la9220","#eeefeb"
"LG LA9012","lg-la9012","#27292b"